"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20"
"HCC_ShHW.225048",-4906115.98902099,-40420.6759500082,-1598.28000181791,434.53405905586,619.556606237686,3734.66734881852,-1428.38592099713,-7624.00330060351,-6796.76164334121,-2201.37757761334,4055.44723379936,-131.135361979242,330.885155815844,811.008361436506,146.678069858939,204.977005083596,-7.97790001958975,1184.19145436506,-1179.93919621593,463.441988415957
"HCC_ShHW.225050",-4911722.09033704,-41334.1344310228,3607.42849821043,-2589.6989796784,2768.86190681173,5470.87737713718,-659.457699836964,-9733.94447211645,-9041.6320007535,-1670.31433854979,5608.29711332997,-75.2310039525581,405.263284455241,618.267872615615,-390.210640338447,228.255199788145,145.217132127817,1179.6014870514,-893.811236156061,404.778966006842
"HCC_ShHW.225181",-4865417.77799497,-44926.0867317191,-21008.43046383,11717.7494519783,-9434.3973430972,-356.775867146444,4643.18395055462,6799.46754357932,8068.27084358919,1657.76626641216,-343.994089050129,1925.81552338944,563.414432888057,239.944771919634,-157.503417898548,-380.030696306605,-189.582940672422,-28.1279138393606,-118.488658816692,-623.122478269313
"HCC_ShHW.225315",-4693365.1305824,-23738.0552687966,54879.0280526228,-4423.25386013092,17381.1766848554,-4393.37472629714,-2028.07902334595,7767.44717478067,4181.38029462325,2592.52021004269,267.7109729863,811.094886013764,709.359322200494,495.853652307456,-181.021383322993,-583.868121399856,364.311969137112,-440.794524449676,-397.730820515997,198.916940368873
"LUAD.2238350",-5088038.64538558,30481.5265931427,14534.5386396601,-987.359111645704,749.800530366116,4757.69868901425,1543.16400953294,2784.53118916629,-3130.42484766124,2767.4573787646,-897.961961018285,-297.702724872004,241.991196100443,505.738059822283,-174.84318081505,-292.081652560373,-491.164320940679,165.560992740535,80.22334128666,-276.561681261948
"LUAD.2359535",-5092235.10849726,27508.6527111101,-13391.3327655405,-578.564750209559,-3234.55544805023,-9320.76573719855,2058.43663553022,2190.6160347968,-616.930915683192,-3280.9917045819,341.944455663903,2414.09654638056,-2403.15786822296,-2754.08136454034,4396.29845793412,-2279.14300937292,297.494175851147,695.458295130401,-1745.46141770237,137.724898559454
"LUAD.2359570",-5124139.64568295,-10983.7786006664,-63.1802993087663,9286.10569091819,-6250.73093555615,-1097.07097827552,-2982.15051567546,1857.29554092956,1695.32625513175,-2308.64259660126,-382.39006208398,734.325978901443,-2202.72068052542,-1911.74717510694,2111.33337580485,-917.564812810481,1044.58608166765,302.159352112194,-166.427296823609,-684.110415882778
"LUAD.2378877",-5110181.6714797,11907.5729243223,-240.903958902786,-5438.23143118462,1948.03985580595,-7270.89021593858,2317.28484945076,1328.52319910216,-5672.85275127164,-857.799030146183,1303.25082802359,459.150352110025,-798.263140513901,-363.302025766642,1149.20654177555,-1212.30821926493,625.446938440824,-499.077668641585,-133.66431005274,-874.184075497978
"LUAD.2379000",-5126240.66787995,8569.84255424505,2246.57434059536,-260.306046381638,-1824.89938395361,3145.20973042559,-2892.19712052385,935.503847710578,-2679.02086048276,104.958365052668,-2495.63646879474,-1036.7575980232,436.290802734199,-1469.98879855192,787.759535845787,-860.87732000066,-261.427932466744,192.750219774132,-314.219550858442,94.0273429775074
"LUAD.2379197",-5133041.2230516,13870.7551532602,7923.1126880005,2869.90817348909,-2187.09264449204,6098.1418281321,-4119.76924752066,2454.99931068986,-460.279183772105,778.003080425248,-2763.24167575423,-1212.45797045501,511.824640280043,-54.6086907281708,500.676196733279,-1591.87214650887,-442.46595322996,-705.151191268842,-396.172845979,437.424751140985
"LUAD.2379223",-5110691.32993032,-1254.29455001553,7934.67430837523,-3740.62244129308,954.817053476902,5890.75486791699,-1728.77613835349,1186.94372792592,-4064.29734924422,1602.23235272124,-1997.73851639143,-690.52450587499,-60.3396113321512,-113.870538646932,303.969463300661,-456.112495358258,-412.71328934775,-334.708081624467,266.333373633727,-724.551582883041
"LUAD.2379275",-5111434.63939009,19126.7987779857,-4633.06194293889,-10922.7295798629,16.563940888848,-3332.53085893544,989.05114085342,-4394.04900500763,3275.01729173708,385.942956979296,-1794.48233647192,906.06169798099,-319.033927593953,649.671449256575,-494.711489283344,-289.41756864076,-880.507716373365,-90.338594304518,-739.68908086908,-133.744889442698
"LUAD.2380731",-5054651.32466707,-9720.79965393176,-21126.1141752211,-10928.7969075273,6004.75486710241,-8933.03177685402,-2221.04420568466,5834.57672421992,-3854.58630625485,-2006.30776518307,-1168.97387297463,2007.04400535152,-2711.34486365244,1974.64385353306,-1948.91535622473,-65.5304560196003,250.172977054454,-584.010281267537,58.9559786190792,12.5583667486698
"LUAD.2380982",-5087735.28556692,29191.7177011709,-7710.10511667644,-15545.6373018906,4135.44974947063,-2147.19692288856,-80.2816280776324,-1542.85175012676,1950.52831281101,-119.907970025173,-835.720097660769,980.807656093049,-474.662506099365,1957.44805813938,401.7818244634,-254.203126686262,-424.090314776962,188.516076284526,-633.932578088578,-364.707545716163
"LUAD.2381001",-5122051.94340493,-148.377067103047,-7898.71158968922,-9365.65353419474,1666.76699489019,-5959.56499787548,529.815428924584,2067.71209841585,-140.930921680799,-288.799994310608,-949.095323931734,737.629670553425,-482.110484204982,450.375704294885,1007.02539386104,-319.946503436196,-142.604578335161,-373.114272242193,-367.868145568754,-57.2983600960281
